id,timeStamp,location,followers,friends,ntweets
39549,288,687,122,1468,53
38325,538,125,486,206,215
38416,299,474,1434,1934,1086
38480,265,434,43,133,1103
39739,300,74,353,565,1895
39736,18,130,526,17,2046
38726,599,487,256,1167,3502
39158,5,24,13,65,387
39735,287,977,118,103,2059
38813,340,0,141,117,741
38725,473,0,137,440,2787
39157,599,927,2849,2079,2446
38057,444,487,35715,1778,21239
39734,422,958,781,1993,627
39358,15,981,305,9,563
38915,375,840,3022,3325,15863
38992,20,766,88,368,446
38415,522,475,180,161,538
39836,421,376,2110,1934,85633
38208,564,0,594,180,84916
38942,464,127,279,621,3287
39733,455,921,145,139,5912
39828,410,844,3591,2045,10918
38820,5,549,1741,1274,6134
39155,1,610,225,227,32
39256,328,605,805,1546,4603
39732,349,1117,1671,1192,36677
39835,10,321,67,92,2422
38962,333,217,8903,2700,1249
38668,330,0,56,62,3171
